# Created by Graham Nelson-Zutter. ©2026 Aestra Inc. except when external source noted. CC BY-NC-ND 4.0
"start","end","text"
"1610","1970"," The"
"1970","2330"," following"
"2330","3370"," is"
"3370","3490"," a"
"3490","4010"," meditation"
"4010","5350"," for"
"5350","5530"," the"
"5530","5810"," third"
"5810","6390"," fundamental"
"6390","7150"," motivation"
"7150","8350"," of"
"8350","8850"," existential"
"8850","9490"," analysis,"
"12040","12440"," helping"
"12440","12660"," us"
"12660","13080"," answer"
"13080","13360"," the"
"13360","13900"," question"
"13900","14560"," of,"
"15040","15300"," am"
"15300","15620"," I"
"15620","15980"," allowed"
"15980","16260"," to"
"16260","16460"," be"
"16460","16740"," me?"
"17560","18240"," With"
"18240","18480"," an"
"18480","18820"," affirmative"
"18820","19740"," yes."
"22280","22500"," The"
"22500","22840"," speaker"
"22840","23560"," and"
"23560","24080"," creator"
"24080","24780"," is"
"24780","25280"," Graham"
"25280","25820"," Nelson"
"25820","26200"," Zutter."
"30000","30480"," Please"
"30480","30960"," take"
"30960","31100"," a"
"31100","31340"," moment"
"31340","32260"," to"
"32260","32740"," find"
"32740","33020"," a"
"33020","33240"," seated"
"33240","33840"," position"
"35280","35920"," where"
"35920","36140"," there's"
"36140","36460"," support"
"36460","36660"," for"
"36660","36780"," your"
"36780","37200"," back"
"39280","40580"," and"
"40580","40860"," an"
"40860","41240"," ability"
"41240","42700"," to"
"42700","43020"," place"
"43020","43220"," your"
"43220","43520"," feet"
"43520","43820"," flat"
"43820","43960"," on"
"43960","44080"," the"
"44080","44460"," ground. "
"48330","48870"," You"
"48870","49050"," may"
"49050","49350"," also"
"49350","49630"," find"
"49630","49790"," a"
"49790","50110"," position"
"50110","50770"," sitting"
"50770","51690"," in"
"51690","52130"," lotus"
"52130","53090"," that"
"53090","53310"," feels"
"53310","53810"," comfortable."
"58670","58870"," It"
"58870","59050"," may"
"59050","59410"," also"
"59410","59730"," be"
"59730","60050"," helpful"
"60050","60550"," to"
"60550","60790"," have"
"60790","60950"," a"
"60950","61290"," posture"
"61290","63010"," where"
"63010","63269"," your"
"63269","63730"," back"
"63730","64770"," is"
"64770","64930"," a"
"64930","65030"," little"
"65030","65290"," more"
"65290","65670"," vertical"
"65670","66890"," with"
"69160","69520"," your"
"69520","69920"," head"
"69920","70260"," above"
